Track Name,Artist(s),Album,Release Date,Track URI,Round Name
September,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",1978-11-23,spotify:track:2grjqo0Frpf2okIBiifQKs,Dancefloor
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,spotify:track:2H1047e0oMSj10dgp7p2VG,Dancefloor
If U Seek Amy,Britney Spears,Circus (Deluxe Version),2008-12-02,spotify:track:2hdy9Wt9qp7M7d0U3ossu2,Dancefloor
Take on Me,a-ha,Hunting High and Low,1985-06-01,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,Dancefloor
Dance Commander,Electric Six,Fire,2003-05-19,spotify:track:3A3n0ShUNIrNWwdzkONVAl,Dancefloor
Peanut Butter Jelly,Galantis,Pharmacy,2015-06-05,spotify:track:3aIhJDHxr1kgTSnutJxPTH,Dancefloor
Watch Out For This (Bumaye),"Major Lazer, Busy Signal, The Flexican, FS Green",Free The Universe (Extended Version),2013-04-16,spotify:track:3j9o0zUoyGNXkijNSyRyBI,Dancefloor
BOOGIE,BROCKHAMPTON,SATURATION III,2017-12-15,spotify:track:3NuN59jpH3B5cNa2M4r7XG,Dancefloor
Dancing On My Own,Robyn,Body Talk Pt. 1,2010-06-11,spotify:track:3Rc2ajBMInxeNGVkMPC92Y,Dancefloor
Finesse - Remix; feat. Cardi B,"Bruno Mars, Cardi B",Finesse (Remix) [feat. Cardi B],2017-12-20,spotify:track:3Vo4wInECJQuz9BIBMOu8i,Dancefloor
The Salmon Dance,The Chemical Brothers,We Are The Night,2007-06-27,spotify:track:3vRYtf5xgPrYeVzAmqvzTd,Dancefloor
Canned Heat,Jamiroquai,Synkronized,1999-06-08,spotify:track:47oS7xB31QQUyPCgHpM3VZ,Dancefloor
You Should Be Dancing,Bee Gees,The Ultimate Bee Gees,2009-11-03,spotify:track:4T5Y25pWs2pVZVcFIqFuf8,Dancefloor
Fireball (feat. John Ryan),"Pitbull, John Ryan",Globalization,2014-11-21,spotify:track:4Y7XAxTANhu3lmnLAzhWJW,Dancefloor
Hypa Hypa,Electric Callboy,Hypa Hypa,2020-06-19,spotify:track:5tXgNRHlUyfrc7P5GgpwnI,Dancefloor
Naked,Bickle,Naked,2020-03-10,spotify:track:5Vth7eImumlAyhsW8PqqAM,Dancefloor
Everytime We Touch,Cascada,Everytime We Touch (Premium Edition),2010-02-12,spotify:track:5YJtMNWKe55yr49cyJgxva,Dancefloor
24K Magic,Bruno Mars,24K Magic,2016-11-17,spotify:track:6b8Be6ljOzmkOmFslEb23P,Dancefloor
Come On Eileen - Single Edit,"Dexys Midnight Runners, Kevin Rowland",Come On Eileen / Dubious,2009-01-01,spotify:track:6nWcEzyxDozQcmxMoNJtYx,Dancefloor
Five More Hours,"Deorro, Chris Brown",Five More Hours (Deorro x Chris Brown),2015-03-03,spotify:track:6omW6DQqbdBwJ4NKAcyAng,Dancefloor
Don't Start Now,Dua Lipa,Don't Start Now,2019-10-31,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Dancefloor
Turn off the Lights,"Chris Lake, Alexis Roberts",Turn off the Lights,2018-02-23,spotify:track:7dsImih2L25fa6qjNphBI7,Dancefloor
